CODIGO,DESCRIPCION,FECHA,ANIO,MES,DIA,DIA_SEMANA,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,HUBO_PROMOCION,TEMPORADA,fecha,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,growth_ratio,VENTAS_LOG,TOTAL_LOG,PRECIO_LOG,mes_sin,mes_cos,cluster,target_class,prob,decision,pred_sales,error_stock
701,PIN DE HAUSING 600 N,14/10/2025,2025,10,14,2,4.0,16000.0,4000.0,4,0,Baja,2025-10-14,33400.0,29400.0,2015.3,12000.0,12600.0,14471.766666666668,27819.216666666664,2.0875,1.6094379124341003,9.680406499268875,8.294299608857235,-0.8660254037844386,0.5000000000000001,0,1,0.6381883718306168,Reforzar stock,,
701,PIN DE HAUSING 600 N,15/12/2025,2025,12,15,1,8.0,33400.0,4175.0,8,0,Alta,2025-12-15,12000.0,16000.0,29400.0,2015.3,77700.0,15805.1,28385.88333333333,0.3592814371257485,2.1972245773362196,10.416341118636355,8.337109129562474,-2.4492935982947064e-16,1.0,0,0,0.5158548562575098,Mantener,,
701,PIN DE HAUSING 600 N,10/02/2026,2026,2,10,2,11.0,44100.0,4009.09,11,0,Baja,2026-02-10,8000.0,4200.0,12600.0,12200.0,12000.0,9666.666666666666,10300.0,0.18140589569160998,2.4849066497880004,10.694237736914808,8.296568963939029,0.8660254037844386,0.5000000000000001,0,0,0.4119676081393907,Mantener,,
701,PIN DE HAUSING 600 N,26/02/2026,2026,2,26,4,17.0,68000.0,4000.0,14,0,Baja,2026-02-26,97211.1,12200.0,8000.0,44100.0,12200.0,21433.333333333332,15550.0,1.429575,2.8903717578961645,11.127277689932466,8.294299608857235,0.8660254037844386,0.5000000000000001,0,1,0.20641803404426823,Mantener,,
702,PIN DE HAUSING 600 HI,16/12/2025,2025,12,16,2,6.0,24000.0,4000.0,6,0,Alta,2025-12-16,37800.0,66800.0,64000.0,12000.0,44200.0,47600.0,35266.666666666664,1.575,1.9459101490553132,10.085850775128717,8.294299608857235,-2.4492935982947064e-16,1.0,0,1,0.5874920602908885,Reforzar stock,,
702,PIN DE HAUSING 600 HI,22/01/2026,2026,1,22,4,9.0,37800.0,4200.0,6,0,Baja,2026-01-22,8200.0,24000.0,66800.0,64000.0,16600.0,51600.0,31900.0,0.21693121693121692,2.302585092994046,10.540090836284206,8.343077871169383,0.49999999999999994,0.8660254037844387,0,0,0.5605144975287097,Mantener,,
703,PIN DE HAUSING 500 N,25/02/2026,2026,2,25,3,16.0,59000.0,3687.5,16,0,Baja,2026-02-25,2102.39,3500.0,14800.0,18500.0,5.0,12266.666666666666,13950.833333333334,0.03563372881355932,2.833213344056216,10.985309671896763,8.212975150324358,0.8660254037844386,0.5000000000000001,0,0,0.16521026989878776,Mantener,,
704,PIN DE HAUSING 300 N AGRALE M/V FORD CARGO,18/11/2025,2025,11,18,2,4.0,12000.0,3000.0,4,0,Alta,2025-11-18,3000.0,3000.0,22050.0,21000.0,15000.0,15350.0,17258.333333333332,0.25,1.6094379124341003,9.392745258631441,8.006700845440367,-0.5000000000000004,0.8660254037844384,0,0,0.6768685385509685,Reforzar stock,,
704,PIN DE HAUSING 300 N AGRALE M/V FORD CARGO,3/12/2025,2025,12,3,3,4.0,10000.0,2500.0,4,0,Alta,2025-12-03,6000.0,3150.0,51200.0,9000.0,3000.0,21116.666666666668,13558.333333333334,0.6,1.6094379124341003,9.210440366976517,7.824445930877619,-2.4492935982947064e-16,1.0,0,0,0.6341812957293236,Reforzar stock,,
704,PIN DE HAUSING 300 N AGRALE M/V FORD CARGO,23/12/2025,2025,12,23,2,9.0,28200.0,3133.33,9,0,Alta,2025-12-23,9000.0,6000.0,10000.0,3150.0,3000.0,6383.333333333333,13725.0,0.3191489361702128,2.302585092994046,10.247112717290387,8.050170714118027,-2.4492935982947064e-16,1.0,0,0,0.4840795403567185,Mantener,,
704,PIN DE HAUSING 300 N AGRALE M/V FORD CARGO,28/01/2026,2026,1,28,3,6.0,18000.0,3000.0,6,0,Baja,2026-01-28,26900.0,6300.0,6250.0,3000.0,28200.0,5183.333333333333,11791.666666666666,1.4944444444444445,1.9459101490553132,9.798182590890704,8.006700845440367,0.49999999999999994,0.8660254037844387,0,1,0.5623710923054112,Mantener,,
704,PIN DE HAUSING 300 N AGRALE M/V FORD CARGO,30/01/2026,2026,1,30,5,8.0,26900.0,3362.5,8,0,Baja,2026-01-30,9600.0,18000.0,6300.0,6250.0,9000.0,10183.333333333334,10091.666666666666,0.35687732342007433,2.1972245773362196,10.199918739620157,8.12073737746566,0.49999999999999994,0.8660254037844387,0,0,0.5347351458551989,Mantener,,
705,PIN DE HAUSING 300 HI,8/09/2025,2025,9,8,1,8.0,29200.0,3650.0,4,0,Baja,2025-09-08,3400.0,3500.0,3500.0,7000.0,35000.0,4666.666666666667,10550.0,0.11643835616438356,2.1972245773362196,10.281958234245314,8.202756381655638,-1.0,-1.8369701987210297e-16,0,0,0.5391793340129539,Mantener,,
705,PIN DE HAUSING 300 HI,22/12/2025,2025,12,22,1,12.0,12.0,1.0,4,0,Alta,2025-12-22,14000.0,65866.5,14600.0,17500.0,7300.0,32655.5,19894.416666666668,1166.6666666666667,2.5649493574615367,2.5649493574615367,0.6931471805599453,-2.4492935982947064e-16,1.0,0,1,0.8224915542559127,Reforzar stock,,
706,"PIN CHAVETA PC#0 1/4x4""",19/01/2026,2026,1,19,1,10.0,30000.0,3000.0,4,0,Baja,2026-01-19,3000.0,24000.0,76.0,6000.0,18000.0,10025.333333333334,14012.666666666666,0.1,2.3978952727983707,10.308985993422082,8.006700845440367,0.49999999999999994,0.8660254037844387,0,0,0.5374337939425953,Mantener,,
