CODIGO,DESCRIPCION,fecha,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,ANIO,MES,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,growth_ratio,VENTAS_LOG,TOTAL_LOG,PRECIO_LOG,mes_sin,mes_cos,cluster,target_class,prob,decision,pred_sales,error_stock
2535,"MANGUERA CAMARA 95CM 38""",2025-08-01,3.0,95100.0,31700.0,3,2025,8,28601.0,1554800.0,538900.0,31000.0,30000.0,708233.3333333334,392484.5,0.3007465825446898,1.3862943611198906,11.462694763725304,10.36410350510914,-0.8660254037844385,-0.5000000000000004,0,0,0.7912685266950434,Reforzar stock próximo mes,,
2536,"MANGUERA CAMARA 100CM 40""",2025-09-01,4.0,128000.0,32000.0,4,2025,9,325086.05,765000.0,29553.28,406909.41,66000.0,400487.5633333333,224577.115,2.539734765625,1.6094379124341003,11.759793355371237,10.373522431293592,-1.0,-1.8369701987210297e-16,0,1,0.8079079822942928,Reforzar stock próximo mes,,
2536,"MANGUERA CAMARA 100CM 40""",2025-11-01,22.0,325086.05,14776.64,2,2025,11,32200.0,128000.0,765000.0,29553.28,45000.0,307517.76,234910.44833333333,0.09905069749993886,3.1354942159291497,12.691848271601344,9.600870506515939,-0.5000000000000004,0.8660254037844384,0,0,0.37734308612805423,Mantener stock,,
2538,RODILLO KOYO JM511946/10E CAJA TRACTOMULA,2025-07-01,12.0,3117800.0,262000.0,12,2025,7,1371502.0,3017300.0,175287.19,273000.0,6.0,1155195.73,620934.1983333334,0.43989415613573674,2.5649493574615367,14.95263850359965,12.476103599529843,-0.4999999999999997,-0.8660254037844388,2,0,0.228233508355286,Mantener stock,,
2539,RETEN LYO POLEA JAC TC-6X-85X10,2025-12-01,9.0,9.0,1.0,3,2025,12,1.0,92548.68,88800.0,59206.0,42003.0,80184.89333333333,52027.28,0.1111111111111111,2.302585092994046,2.302585092994046,0.6931471805599453,-2.4492935982947064e-16,1.0,0,0,0.8122572490523378,Reforzar stock próximo mes,,
254,SILICONA ROJA GRANDE 70ML,2025-12-01,5.0,65000.0,13000.0,5,2025,12,26000.0,51000.0,52400.0,143000.0,13000.0,82133.33333333333,65900.0,0.4,1.791759469228055,11.082157933374816,9.472781556562168,-2.4492935982947064e-16,1.0,0,0,0.7475577460406233,Reforzar stock próximo mes,,
254,SILICONA ROJA GRANDE 70ML,2026-01-01,2.0,26000.0,13000.0,2,2026,1,38900.0,65000.0,51000.0,52400.0,13200.0,56133.333333333336,74566.66666666667,1.4961538461538462,1.0986122886681098,10.165890277802454,9.472781556562168,0.49999999999999994,0.8660254037844387,0,1,0.8399511801917887,Reforzar stock próximo mes,,
2541,RODILLO KOYO 33015 JR RDA.TRA.INT.MERCEDEZ 814/914 RDA.TRA.EXT.JAC,2025-08-01,2.0,2.0,1.0,2,2025,8,1441341.4,2187468.46,230000.0,516790.29,1320003.0,978086.25,756416.14,720670.7,1.0986122886681098,1.0986122886681098,0.6931471805599453,-0.8660254037844385,-0.5000000000000004,0,1,0.9188210233374743,Reforzar stock próximo mes,,
2542,RODILLO KOYO 30213 JR RDA.TRA.EXT.KIA.BESTA/R.T.I. ASIA COMBI.,2025-09-01,21.0,3258300.0,156650.0,11,2025,9,158300.0,784902.0,2.0,21.0,1.0,261641.66666666666,708616.1666666666,0.04858361722370561,3.091042453358316,14.996716451844701,11.961775680017798,-1.0,-1.8369701987210297e-16,2,0,0.14764747449433605,Mantener stock,,
2542,RODILLO KOYO 30213 JR RDA.TRA.EXT.KIA.BESTA/R.T.I. ASIA COMBI.,2025-10-01,1.0,158300.0,158300.0,1,2025,10,384280.05,3258300.0,784902.0,2.0,2200370.0,1347734.6666666667,1251666.0,2.4275429564118762,0.6931471805599453,11.972253562968545,11.972253562968545,-0.8660254037844386,0.5000000000000001,0,1,0.8596366682587882,Reforzar stock próximo mes,,
2542,RODILLO KOYO 30213 JR RDA.TRA.EXT.KIA.BESTA/R.T.I. ASIA COMBI.,2025-11-01,3.0,384280.05,135645.01,2,2025,11,2224000.0,158300.0,3258300.0,784902.0,1266401.0,1400500.6666666667,911321.0,5.787445900457231,1.3862943611198906,12.85912946490258,11.817803903721565,-0.5000000000000004,0.8660254037844384,0,1,0.8261767932038686,Reforzar stock próximo mes,,
2543,RODILLO KOYO 42688/20 RDA.TRA.INT.DODGE 600,2025-09-01,7.0,2255111.02,283555.51,4,2025,9,2104513.02,337600.0,330000.0,331490.28,2.0,333030.0933333333,449360.0616666667,0.9332192523275418,2.0794415416798357,14.628710205960035,12.555166712092394,-1.0,-1.8369701987210297e-16,2,0,0.3739265414007944,Mantener stock,,
255,SILICONA ROJA PEQUEÑA 50ML,2025-05-01,2.0,20000.0,10000.0,2,2025,5,500000.0,20000.0,20000.0,10000.0,38925.0,16666.666666666668,109420.21500000001,25.0,1.0986122886681098,9.90353755128617,9.210440366976517,0.49999999999999994,-0.8660254037844387,0,1,0.8382835322707162,Reforzar stock próximo mes,,
255,SILICONA ROJA PEQUEÑA 50ML,2025-07-01,50.0,500000.0,10000.0,4,2025,7,15008.0,20000.0,20000.0,20000.0,538096.29,20000.0,106266.04833333334,0.030016,3.9318256327243257,13.122365377402328,9.210440366976517,-0.4999999999999997,-0.8660254037844388,0,0,0.23602875637958168,Mantener stock,,
2551,LIJA FORZA AA80,2025-10-01,6.0,12000.0,2000.0,6,2025,10,46000.0,8000.0,16000.0,4000.0,2763.75,9333.333333333334,6043.958333333333,3.8333333333333335,1.9459101490553132,9.392745258631441,7.601402334583733,-0.8660254037844386,0.5000000000000001,0,1,0.6799851464960347,Reforzar stock próximo mes,,
2551,LIJA FORZA AA80,2025-12-01,23.0,46000.0,2000.0,14,2025,12,3000.0,12000.0,8000.0,16000.0,3000.0,12000.0,7583.333333333333,0.06521739130434782,3.1780538303479458,10.736418414365376,7.601402334583733,-2.4492935982947064e-16,1.0,0,0,0.4757778370543187,Mantener stock,,
2551,LIJA FORZA AA80,2026-01-01,1.0,3000.0,3000.0,1,2026,1,2000.0,46000.0,12000.0,8000.0,2500.0,22000.0,14750.0,0.6666666666666666,0.6931471805599453,8.006700845440367,8.006700845440367,0.49999999999999994,0.8660254037844387,0,0,0.9196644240145414,Reforzar stock próximo mes,,
2552,"RETEN SNA 69094 RDA.DEL.ISUZU ENCAVA SBR,SCR.FSR DE 7.5 TONELADAS RETEN SNA RDA.DEL.ISUZU ENCAVA SBR-SCR.CHEV. FSR DE 7.5 TONELADAS AÑOS 2006 75X112X17.5",2025-12-01,9.0,9.0,1.0,3,2025,12,128521.1,86400.0,30000.0,51736.44,15000.0,56045.48,198315.63999999998,14280.122222222222,2.302585092994046,2.302585092994046,0.6931471805599453,-2.4492935982947064e-16,1.0,0,1,0.8137665641669183,Reforzar stock próximo mes,,
2552,"RETEN SNA 69094 RDA.DEL.ISUZU ENCAVA SBR,SCR.FSR DE 7.5 TONELADAS RETEN SNA RDA.DEL.ISUZU ENCAVA SBR-SCR.CHEV. FSR DE 7.5 TONELADAS AÑOS 2006 75X112X17.5",2026-01-01,13.0,128521.1,11606.055,4,2026,1,34801.0,9.0,86400.0,30000.0,962000.0,38803.0,195817.13999999998,0.27078043994332446,2.6390573296152584,11.763856152965582,9.359368381877255,0.49999999999999994,0.8660254037844387,0,0,0.5344537993045202,Mantener stock,,
2552,"RETEN SNA 69094 RDA.DEL.ISUZU ENCAVA SBR,SCR.FSR DE 7.5 TONELADAS RETEN SNA RDA.DEL.ISUZU ENCAVA SBR-SCR.CHEV. FSR DE 7.5 TONELADAS AÑOS 2006 75X112X17.5",2026-02-01,3.0,34801.0,8700.5,2,2026,2,279602.0,128521.1,9.0,86400.0,44757.4,71643.36666666667,56903.99,8.034309358926468,1.3862943611198906,10.457430135375523,9.07125070357423,0.8660254037844386,0.5000000000000001,0,1,0.7287900309682847,Reforzar stock próximo mes,,
