CODIGO,fecha,ventas_reales,prediccion_prophet,prediccion_hibrida,error_prophet,error_hibrida,error_pct_prophet,error_pct_hibrida
1,2025-10-01,1.0,2615233.1768319504,10.295918367346939,2615232.1768319504,9.295918367346939,261523217.68319505,929.5918367346939
1001,2026-02-01,3.0,0.0,10.295918367346939,3.0,7.295918367346939,100.0,243.1972789115646
1002,2026-03-01,12.0,54.9474396896967,10.295918367346939,42.9474396896967,1.704081632653061,357.8953307474725,14.200680272108842
1003,2026-03-01,2.0,1.6153744394069225,10.295918367346939,0.3846255605930775,8.295918367346939,19.231278029653875,414.7959183673469
1004,2026-03-01,50.0,0.0,10.295918367346939,50.0,39.70408163265306,100.0,79.40816326530611
1005,2026-03-01,32.0,0.0,10.295918367346939,32.0,21.70408163265306,100.0,67.82525510204081
1006,2026-03-01,11.0,0.0,10.295918367346939,11.0,0.704081632653061,100.0,6.400742115027827
1007,2026-03-01,6.0,10.400668540276596,10.295918367346939,4.400668540276596,4.295918367346939,73.34447567127661,71.59863945578232
1009,2026-03-01,9.0,0.0,10.295918367346939,9.0,1.295918367346939,100.0,14.399092970521544
1010,2026-01-01,4.0,128.99767390681913,10.295918367346939,124.99767390681913,6.295918367346939,3124.941847670478,157.39795918367346
1011,2026-03-01,1.0,9.017401079644975e+104,1.0000000000000018,9.017401079644975e+104,1.7763568394002505e-15,9.017401079644976e+106,1.7763568394002505e-13
1012,2026-03-01,8.0,0.0,10.295918367346939,8.0,2.295918367346939,100.0,28.69897959183674
1013,2026-03-01,6.0,0.0,10.295918367346939,6.0,4.295918367346939,100.0,71.59863945578232
1014,2026-03-01,26.0,1.6839243751260059e+87,10.295918367346939,1.6839243751260059e+87,15.704081632653061,6.476632212023099e+87,60.40031397174255
1015,2026-03-01,8.0,0.0,10.295918367346939,8.0,2.295918367346939,100.0,28.69897959183674
1016,2026-03-01,11.5,0.0,10.295918367346939,11.5,1.204081632653061,100.0,10.470275066548357
1017,2026-03-01,5.0,2583.1035633998067,10.295918367346939,2578.1035633998067,5.295918367346939,51562.071267996136,105.91836734693878
1018,2026-03-01,7.0,52.84971681232645,10.295918367346939,45.84971681232645,3.295918367346939,654.9959544618064,47.08454810495627
1019,2026-02-01,14.5,5.463847756724663e+29,10.295918367346939,5.463847756724663e+29,4.204081632653061,3.768170866706664e+30,28.993666432090077
102,2026-03-01,4.0,70744.29825978904,10.295918367346939,70740.29825978904,6.295918367346939,1768507.456494726,157.39795918367346
1020,2026-03-01,17.0,0.0,10.295918367346939,17.0,6.704081632653061,100.0,39.43577430972389
1021,2026-03-01,21.0,0.0,10.295918367346939,21.0,10.704081632653061,100.0,50.97181729834791
1022,2026-03-01,8.0,0.0,10.295918367346939,8.0,2.295918367346939,100.0,28.69897959183674
1023,2026-02-01,10.0,0.0,10.295918367346939,10.0,0.295918367346939,100.0,2.95918367346939
1024,2026-03-01,22.0,750.9479639947763,10.295918367346939,728.9479639947763,11.704081632653061,3313.3998363398923,53.20037105751392
1025,2026-02-01,3.0,0.0,10.295918367346939,3.0,7.295918367346939,100.0,243.1972789115646
1026,2026-03-01,2.0,4.442257176136829e+17,10.295918367346939,4.442257176136829e+17,8.295918367346939,2.2211285880684143e+19,414.7959183673469
1027,2026-03-01,39.0,0.0,10.295918367346939,39.0,28.70408163265306,100.0,73.60020931449502
1029,2026-02-01,18.0,0.0,10.295918367346939,18.0,7.704081632653061,100.0,42.80045351473923
103,2026-03-01,1.0,0.0,10.295918367346939,1.0,9.295918367346939,100.0,929.5918367346939
1031,2026-02-01,5.0,6303.06824059803,10.295918367346939,6298.06824059803,5.295918367346939,125961.36481196058,105.91836734693878
1032,2026-02-01,5.0,7.887849717170553,10.295918367346939,2.8878497171705533,5.295918367346939,57.75699434341106,105.91836734693878
1038,2026-02-01,7.5,5.5604081425535625,10.295918367346939,1.9395918574464375,2.795918367346939,25.8612247659525,37.27891156462586
1042,2026-02-01,13.0,0.0,10.295918367346939,13.0,2.704081632653061,100.0,20.800627943485082
1043,2026-02-01,6.0,0.0,10.295918367346939,6.0,4.295918367346939,100.0,71.59863945578232
1044,2026-03-01,8.0,0.0,10.295918367346939,8.0,2.295918367346939,100.0,28.69897959183674
1045,2025-12-01,13.0,6.36958358816936,10.295918367346939,6.63041641183064,2.704081632653061,51.003203167928,20.800627943485082
1046,2026-02-01,2.5,0.0,10.295918367346939,2.5,7.795918367346939,100.0,311.8367346938776
1047,2026-03-01,2.0,1.142015618959367e+20,10.295918367346939,1.142015618959367e+20,8.295918367346939,5.710078094796835e+21,414.7959183673469
1048,2026-03-01,26.0,0.0,10.295918367346939,26.0,15.704081632653061,100.0,60.40031397174255
1049,2026-01-01,12.0,15.916557105279846,10.295918367346939,3.9165571052798462,1.704081632653061,32.63797587733205,14.200680272108842
1050,2026-01-01,2.0,0.0,10.295918367346939,2.0,8.295918367346939,100.0,414.7959183673469
1052,2026-03-01,22.0,0.0,10.295918367346939,22.0,11.704081632653061,100.0,53.20037105751392
1053,2026-03-01,1.5,3200.253827118291,10.295918367346939,3198.753827118291,8.795918367346939,213250.2551412194,586.3945578231293
1054,2026-03-01,1.0,24.442569101533753,10.295918367346939,23.442569101533753,9.295918367346939,2344.2569101533754,929.5918367346939
1055,2026-03-01,6.0,9.511522707542433,10.295918367346939,3.511522707542433,4.295918367346939,58.525378459040546,71.59863945578232
1056,2026-01-01,1.0,338.2274224593454,10.295918367346939,337.2274224593454,9.295918367346939,33722.74224593454,929.5918367346939
1059,2026-02-01,1.0,8.116232819154158e+22,10.295918367346939,8.116232819154158e+22,9.295918367346939,8.116232819154158e+24,929.5918367346939
1060,2026-02-01,3.0,0.0,10.295918367346939,3.0,7.295918367346939,100.0,243.1972789115646
1062,2025-12-01,6.0,1587417550.9474807,10.295918367346939,1587417544.9474807,4.295918367346939,26456959082.45801,71.59863945578232
