CODIGO,fecha,ventas_reales,prediccion_prophet,prediccion_hibrida
1,2025-10-01,1.0,2615233.1768319504,10.295918367346939
1001,2026-02-01,3.0,0.0,10.295918367346939
1002,2026-03-01,12.0,54.9474396896967,10.295918367346939
1003,2026-03-01,2.0,1.6153744394069225,10.295918367346939
1004,2026-03-01,50.0,0.0,10.295918367346939
1005,2026-03-01,32.0,0.0,10.295918367346939
1006,2026-03-01,11.0,0.0,10.295918367346939
1007,2026-03-01,6.0,10.400668540276596,10.295918367346939
1009,2026-03-01,9.0,0.0,10.295918367346939
1010,2026-01-01,4.0,128.99767390681913,10.295918367346939
1011,2026-03-01,1.0,9.017401079644975e+104,1.0000000000000018
1012,2026-03-01,8.0,0.0,10.295918367346939
1013,2026-03-01,6.0,0.0,10.295918367346939
1014,2026-03-01,26.0,1.6839243751260059e+87,10.295918367346939
1015,2026-03-01,8.0,0.0,10.295918367346939
1016,2026-03-01,11.5,0.0,10.295918367346939
1017,2026-03-01,5.0,2583.1035633998067,10.295918367346939
1018,2026-03-01,7.0,52.84971681232645,10.295918367346939
1019,2026-02-01,14.5,5.463847756724663e+29,10.295918367346939
102,2026-03-01,4.0,70744.29825978904,10.295918367346939
1020,2026-03-01,17.0,0.0,10.295918367346939
1021,2026-03-01,21.0,0.0,10.295918367346939
1022,2026-03-01,8.0,0.0,10.295918367346939
1023,2026-02-01,10.0,0.0,10.295918367346939
1024,2026-03-01,22.0,750.9479639947763,10.295918367346939
1025,2026-02-01,3.0,0.0,10.295918367346939
1026,2026-03-01,2.0,4.442257176136829e+17,10.295918367346939
1027,2026-03-01,39.0,0.0,10.295918367346939
1029,2026-02-01,18.0,0.0,10.295918367346939
103,2026-03-01,1.0,0.0,10.295918367346939
1031,2026-02-01,5.0,6303.06824059803,10.295918367346939
1032,2026-02-01,5.0,7.887849717170553,10.295918367346939
1038,2026-02-01,7.5,5.5604081425535625,10.295918367346939
1042,2026-02-01,13.0,0.0,10.295918367346939
1043,2026-02-01,6.0,0.0,10.295918367346939
1044,2026-03-01,8.0,0.0,10.295918367346939
1045,2025-12-01,13.0,6.36958358816936,10.295918367346939
1046,2026-02-01,2.5,0.0,10.295918367346939
1047,2026-03-01,2.0,1.142015618959367e+20,10.295918367346939
1048,2026-03-01,26.0,0.0,10.295918367346939
1049,2026-01-01,12.0,15.916557105279846,10.295918367346939
1050,2026-01-01,2.0,0.0,10.295918367346939
1052,2026-03-01,22.0,0.0,10.295918367346939
1053,2026-03-01,1.5,3200.253827118291,10.295918367346939
1054,2026-03-01,1.0,24.442569101533753,10.295918367346939
1055,2026-03-01,6.0,9.511522707542433,10.295918367346939
1056,2026-01-01,1.0,338.2274224593454,10.295918367346939
1059,2026-02-01,1.0,8.116232819154158e+22,10.295918367346939
1060,2026-02-01,3.0,0.0,10.295918367346939
1062,2025-12-01,6.0,1587417550.9474807,10.295918367346939
