Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
434,2022-12-01,12.0,64.0,45.95,27472.78,9,0,18.05,28.21
970,2022-12-01,8.0,43.0,22.06,83376.32,2,0,20.94,48.7
1084,2022-12-01,19.0,6.0,9.78,9244.21,3,0,3.78,62.94
2311,2022-12-01,6.0,72.0,42.39,13527.92,1,0,29.61,41.13
1080,2022-12-01,7.0,17.0,8.06,140757.43,4,0,8.94,52.6
1667,2022-12-01,17.0,3.0,18.63,155668.84,9,0,15.63,521.07
2314,2022-12-01,4.0,24.0,15.6,1582.5,4,0,8.4,35.02
595,2022-12-01,2.0,26.0,13.02,10000.0,1,0,12.98,49.91
505,2022-12-01,5.0,12.0,9.44,3000.0,3,0,2.56,21.34
424,2022-12-01,9.0,21.0,16.01,45502.39,6,0,4.99,23.75
234,2022-12-01,3.0,3.0,7.02,80000.0,3,0,4.02,134.06
1078,2022-12-01,1.0,7.5,7.9,183000.0,1,0,0.4,5.28
2316,2022-12-01,4.0,36.0,25.77,1750.0,1,0,10.23,28.43
1140,2022-12-01,4.0,23.0,11.55,18462.5,2,0,11.45,49.77
208,2022-12-01,4.0,7.0,26.37,152500.0,4,0,19.37,276.76
1320,2022-12-01,1.0,4.0,8.02,23100.0,1,0,4.02,100.51
2319,2022-12-01,11.0,8.0,12.79,3075.0,2,0,4.79,59.83
T7167,2022-12-01,6.0,64.0,33.09,200.0,1,1,30.91,48.29
T5287,2022-12-01,7.0,4.0,11.54,1887.94,4,0,7.54,188.61
322,2022-12-01,10.0,19.0,13.67,15500.5,2,0,5.33,28.07
1150,2022-12-01,1.0,6.0,12.82,12500.0,1,0,6.82,113.74
551,2022-12-01,1.0,18.0,10.01,14700.0,1,0,7.99,44.39
971,2022-12-01,11.0,30.0,28.64,119045.0,6,0,1.36,4.52
1151,2022-12-01,4.0,48.0,21.85,15500.0,1,0,26.15,54.48
617,2022-12-01,10.0,9.0,10.62,5171.88,8,0,1.62,18.0
1073,2022-12-01,40.0,45.5,27.58,159391.87,25,0,17.92,39.4
555,2022-12-01,1.0,30.0,11.53,2500.0,1,0,18.47,61.57
577,2022-12-01,12.0,31.0,36.59,5168.75,8,0,5.59,18.03
T8724,2022-12-01,14.0,25.0,26.12,154.13,2,1,1.12,4.47
160,2022-12-01,52.0,12.0,11.84,7833.33,3,1,0.16,1.32
1067,2022-12-01,1.0,2.0,8.43,178500.0,1,0,6.43,321.29
710,2022-12-01,30.0,4.0,14.96,1019.83,1,1,10.96,274.0
4204,2022-12-01,5.0,67.0,49.32,2500.0,2,0,17.68,26.39
2042,2022-12-01,52.0,50.0,51.96,80.0,2,1,1.96,3.93
1060,2022-12-01,8.0,1.5,8.06,152908.93,3,0,6.56,437.29
531,2022-12-01,1.0,20.0,9.37,25320.0,1,0,10.63,53.13
2438,2022-12-01,3.0,24.0,15.63,1200.0,2,0,8.37,34.87
540,2022-12-01,8.0,17.0,22.59,13889.64,6,0,5.59,32.87
2457,2022-12-01,2.0,6.0,13.94,5000.0,2,0,7.94,132.35
979,2022-12-01,2.0,11.0,14.59,112767.97,1,0,3.59,32.61
1234,2022-12-01,1.0,42.0,14.13,9495.0,1,0,27.87,66.36
1053,2022-12-01,1.0,11.0,9.3,240012.5,2,0,1.7,15.41
2049,2022-12-01,3.0,40.0,26.52,12000.0,3,0,13.48,33.71
1800,2022-12-01,1.0,46.0,31.22,32000.0,1,0,14.78,32.12
596,2022-12-01,3.0,4.0,8.68,7000.0,3,0,4.68,116.89
