Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
1112,2022-11-01,32.0,13.0,29.14,9412.17,7,0,16.14,124.13
1184,2022-11-01,192.0,18.0,21.5,16833.33,55,1,3.5,19.43
1110,2022-11-01,20.0,32.0,32.15,7603.13,8,0,0.15,0.48
1195,2022-11-01,146.0,75.0,62.49,8375.44,51,1,12.51,16.68
T6532,2022-11-01,2.0,10.0,14.5,550.0,2,0,4.5,45.02
T7161,2022-11-01,21.0,39.0,39.93,103.14,7,1,0.93,2.39
1200,2022-11-01,34.0,1.0,9.24,12700.0,10,0,8.24,824.08
1200,2022-11-01,11.0,34.0,11.42,10941.67,6,0,22.58,66.4
583,2022-11-01,45.0,8.0,10.79,26629.8,5,0,2.79,34.82
T7166,2022-11-01,41.0,38.0,35.33,102.12,13,1,2.67,7.04
1196,2022-11-01,78.0,4.0,14.06,7272.73,9,1,10.06,251.58
1196,2022-11-01,21.0,78.0,29.06,8376.0,10,0,48.94,62.74
583,2022-11-01,8.0,8.0,16.58,24000.0,5,0,8.58,107.28
1109,2022-11-01,10.0,8.0,23.2,6871.5,5,0,15.2,190.02
1109,2022-11-01,8.0,21.0,17.36,7500.0,4,0,3.64,17.33
548,2022-11-01,6.0,7.0,10.17,11650.0,4,0,3.17,45.36
534,2022-11-01,2.0,10.0,14.81,7500.0,2,0,4.81,48.11
548,2022-11-01,15.0,6.0,9.96,8729.69,7,0,3.96,66.08
534,2022-11-01,10.0,1.0,8.32,7740.0,10,0,7.32,731.83
588,2022-11-01,1.0,7.0,16.68,15297.5,1,0,9.68,138.32
T7161,2022-11-01,39.0,1.0,14.76,100.0,20,1,13.76,1376.45
1021,2022-11-01,18.0,1.0,9.14,98620.05,6,0,8.14,814.34
T6510,2022-11-01,10.0,33.0,25.51,258.25,5,1,7.49,22.69
1021,2022-11-01,8.0,18.0,15.53,63067.83,5,0,2.47,13.74
601,2022-11-01,3.0,3.0,10.05,8227.0,1,0,7.05,235.0
1377,2022-11-01,3.0,2.0,7.74,103590.0,3,0,5.74,286.85
496,2022-11-01,4.0,1.0,12.57,94701.5,2,0,11.57,1157.26
1014,2022-11-01,21.5,14.5,18.65,114291.67,23,0,4.15,28.6
1380,2022-11-01,1.0,6.0,9.8,158250.0,1,0,3.8,63.3
1380,2022-11-01,6.0,10.0,7.29,204200.0,3,0,2.71,27.12
1014,2022-11-01,18.0,21.5,21.81,58711.46,7,0,0.31,1.45
T206,2022-11-01,8.0,28.0,16.16,1250.0,2,0,11.84,42.29
562,2022-11-01,28.0,30.0,11.76,6040.91,11,0,18.24,60.81
T204,2022-11-01,3.0,4.0,10.17,1000.0,3,0,6.17,154.22
T204,2022-11-01,120.0,3.0,7.66,788.33,7,1,4.66,155.47
T8871,2022-11-01,109.0,19.0,12.04,1398.09,3,1,6.96,36.64
T9226,2022-11-01,1.0,73.0,18.19,211.0,1,0,54.81,75.08
T9226,2022-11-01,73.0,2.0,9.77,192.19,17,1,7.77,388.6
1387,2022-11-01,9.0,29.0,14.83,109210.85,7,0,14.17,48.86
1013,2022-11-01,8.5,29.0,25.47,121000.0,8,0,3.53,12.17
1387,2022-11-01,29.0,6.0,11.69,135196.47,28,0,5.69,94.87
1013,2022-11-01,8.0,8.5,30.71,78938.79,6,0,22.21,261.29
495,2022-11-01,7.0,5.0,8.39,28633.33,3,0,3.39,67.84
495,2022-11-01,3.0,7.0,8.85,37678.33,3,0,1.85,26.42
T9288,2022-11-01,4.0,3.0,8.67,550.0,1,0,5.67,188.86
1390,2022-11-01,7.0,4.0,11.14,73616.28,5,0,7.14,178.38
1390,2022-11-01,4.0,4.0,9.8,76765.36,2,0,5.8,144.89
T9307,2022-11-01,3.0,14.0,16.47,1100.0,2,0,2.47,17.62
T184,2022-11-01,528.0,7.0,15.14,703.08,8,1,8.14,116.25
T9378,2022-11-01,2.0,50.0,16.82,850.0,1,0,33.18,66.35
1012,2022-11-01,8.0,11.0,8.52,234000.0,7,0,2.48,22.54
1012,2022-11-01,6.0,8.0,8.88,218161.41,4,0,0.88,11.05
601,2022-11-01,3.0,1.0,7.46,13133.33,3,0,6.46,646.26
573,2022-11-01,2.0,42.0,13.77,7385.0,2,0,28.23,67.22
493,2022-11-01,1.0,5.0,7.76,47475.0,1,0,2.76,55.11
561,2022-11-01,34.0,2.0,10.01,5175.5,8,0,8.01,400.68
1017,2022-11-01,1.5,3.0,10.14,126000.0,2,0,7.14,237.84
T280,2022-11-01,10.0,8.0,29.32,100.0,1,1,21.32,266.48
T240,2022-11-01,16.0,4.0,10.53,600.0,5,1,6.53,163.18
T240,2022-11-01,8.0,16.0,10.92,666.6,5,0,5.08,31.77
5,2022-11-01,12.0,2.0,6.83,96125.0,12,0,4.83,241.42
T8850,2022-11-01,6.0,24.0,23.61,105.5,1,1,0.39,1.64
T8850,2022-11-01,24.0,2.0,13.68,100.0,13,1,11.68,584.22
573,2022-11-01,42.0,2.0,9.13,6577.5,4,0,7.13,356.69
1351,2022-11-01,3.0,4.0,9.73,10781.5,2,0,5.73,143.32
1351,2022-11-01,4.0,2.0,9.43,10600.0,4,0,7.43,371.4
5,2022-11-01,4.0,12.0,8.37,57935.11,2,0,3.63,30.26
1016,2022-11-01,2.0,2.0,11.49,158000.0,4,0,9.49,474.44
1016,2022-11-01,6.5,2.0,10.13,117622.32,4,0,8.13,406.6
498,2022-11-01,1.0,3.0,9.19,21550.0,1,0,6.19,206.37
T232,2022-11-01,13.0,10.0,12.95,500.0,9,1,2.95,29.48
T232,2022-11-01,2.0,13.0,21.67,500.0,1,0,8.67,66.71
498,2022-11-01,2.0,1.0,12.14,18990.0,1,0,11.14,1113.8
T8851,2022-11-01,4.0,6.0,24.25,105.5,1,1,18.25,304.09
1356,2022-11-01,2.0,2.0,9.64,101958.75,2,0,7.64,381.95
1356,2022-11-01,2.0,4.0,10.65,100000.0,2,0,6.65,166.14
T8851,2022-11-01,6.0,8.0,22.18,100.0,2,1,14.18,177.27
T8852,2022-11-01,4.0,28.0,20.85,200.0,1,0,7.15,25.53
1015,2022-11-01,9.0,67.5,15.2,107700.0,10,0,52.3,77.48
1015,2022-11-01,28.0,9.0,13.73,78726.58,6,0,4.73,52.52
1370,2022-11-01,5.0,2.0,8.42,58333.33,3,0,6.42,320.78
1374,2022-11-01,10.0,12.0,10.96,15412.5,2,0,1.04,8.68
561,2022-11-01,8.0,34.0,11.87,5521.0,5,0,22.13,65.1
T179,2022-11-01,266.0,43.0,44.67,332.11,2,1,1.67,3.88
1395,2022-11-01,2.0,5.0,10.14,163345.0,2,0,5.14,102.77
1350,2022-11-01,110.0,20.0,16.15,673.25,4,1,3.85,19.27
1004,2022-11-01,9.0,5.0,18.34,72652.1,3,0,13.34,266.73
567,2022-11-01,46.0,19.0,33.31,14030.69,7,0,14.31,75.33
T134,2022-11-01,2.0,12.0,14.4,250.0,1,0,2.4,20.01
568,2022-11-01,2.0,3.0,8.14,21627.5,1,0,5.14,171.17
568,2022-11-01,3.0,2.0,8.52,21600.0,3,0,6.52,326.24
T9568,2022-11-01,3.0,10.0,11.91,250.0,2,0,1.91,19.11
1415,2022-11-01,1.0,1.0,9.06,101455.99,1,0,8.06,805.8
T9568,2022-11-01,10.0,2.0,13.81,300.0,10,1,11.81,590.6
1415,2022-11-01,1.0,2.0,7.96,165000.0,1,0,5.96,297.88
1003,2022-11-01,0.5,12.0,11.0,51500.21,1,0,1.0,8.32
1416,2022-11-01,18.0,2.0,9.21,56295.69,1,0,7.21,360.58
1416,2022-11-01,2.0,2.0,7.34,187000.0,2,0,5.34,267.19
1002,2022-11-01,3.0,10.0,8.67,108000.0,3,0,1.33,13.32
602,2022-11-01,10.0,22.0,7.06,10000.0,6,0,14.94,67.93
1002,2022-11-01,19.0,3.0,10.31,55947.55,6,0,7.31,243.82
1420,2022-11-01,7.0,1.0,9.88,10667.0,3,0,8.88,888.08
1420,2022-11-01,1.0,1.0,8.02,16900.0,1,0,7.02,702.02
1421,2022-11-01,13.0,2.0,7.83,4132.11,1,0,5.83,291.44
1421,2022-11-01,2.0,1.0,8.66,18000.0,2,0,7.66,765.85
T9577,2022-11-01,3.0,5.0,9.59,1200.0,3,0,4.59,91.84
470,2022-11-01,6.0,6.0,11.18,12750.0,6,0,5.18,86.35
T133,2022-11-01,20.0,2.0,15.3,200.0,5,1,13.3,664.91
T98,2022-11-01,68.0,4.0,11.34,485.33,4,1,7.34,183.49
T98,2022-11-01,4.0,1.0,10.17,850.0,2,0,9.17,917.07
T132,2022-11-01,48.0,49.0,30.67,100.0,6,1,18.33,37.4
470,2022-11-01,136.0,6.0,12.31,9522.92,3,1,6.31,105.22
1001,2022-11-01,16.0,1.0,6.42,66071.88,2,0,5.42,542.49
570,2022-11-01,27.0,35.0,38.67,14838.71,7,0,3.67,10.48
1413,2022-11-01,6.0,48.0,25.87,66071.18,1,0,22.13,46.1
1004,2022-11-01,5.0,8.5,15.41,127000.0,7,0,6.91,81.29
572,2022-11-01,10.0,1.0,8.42,12675.0,8,0,7.42,742.19
476,2022-11-01,4.0,1.0,7.93,188406.04,4,0,6.93,692.64
1395,2022-11-01,5.0,5.0,9.46,163620.0,5,0,4.46,89.29
T177,2022-11-01,365.0,20.0,45.98,206.81,16,1,25.98,129.89
1396,2022-11-01,19.0,12.0,11.17,45086.1,4,0,0.83,6.88
1009,2022-11-01,5.0,10.0,8.99,197000.0,4,0,1.01,10.12
1009,2022-11-01,21.0,5.0,7.96,122252.26,6,0,2.96,59.17
1403,2022-11-01,1.0,46.0,14.17,70000.0,1,0,31.83,69.21
564,2022-11-01,1.0,13.0,11.45,12660.0,1,0,1.55,11.93
T175,2022-11-01,552.0,22.0,25.83,195.85,27,1,3.83,17.41
564,2022-11-01,13.0,2.0,7.62,10041.6,5,0,5.62,281.0
T9547,2022-11-01,189.0,51.0,40.7,193.45,24,1,10.3,20.19
1006,2022-11-01,12.5,9.0,9.05,111000.0,9,0,0.05,0.56
1006,2022-11-01,31.0,12.5,12.29,53797.71,6,0,0.21,1.71
1406,2022-11-01,1.0,1.0,9.53,8500.0,1,0,8.53,853.38
602,2022-11-01,2.0,10.0,7.51,9500.0,2,0,2.49,24.91
T171,2022-11-01,415.0,55.0,43.44,197.18,33,1,11.56,21.02
486,2022-11-01,11.0,7.0,7.98,69748.94,7,0,0.98,14.05
1410,2022-11-01,9.0,4.0,11.27,55790.71,3,0,7.27,181.82
1410,2022-11-01,4.0,9.0,10.24,78066.67,3,0,1.24,13.75
T9563,2022-11-01,6.0,32.0,26.18,203.67,3,1,5.82,18.18
1005,2022-11-01,30.0,8.0,9.97,118576.92,26,0,1.97,24.57
1005,2022-11-01,3.0,30.0,14.16,86974.99,2,0,15.84,52.81
1412,2022-11-01,1.0,2.0,9.74,10550.0,1,0,7.74,387.14
1412,2022-11-01,2.0,1.0,9.67,12600.0,2,0,8.67,866.84
T134,2022-11-01,12.0,2.0,8.74,200.0,3,1,6.74,337.1
571,2022-11-01,26.0,3.0,11.55,11803.43,7,0,8.55,284.89
571,2022-11-01,14.0,26.0,20.1,6150.5,2,0,5.9,22.69
T9563,2022-11-01,32.0,13.0,15.62,215.0,10,1,2.62,20.19
1350,2022-11-01,20.0,19.0,17.12,762.62,13,1,1.88,9.89
543,2022-11-01,2.0,3.0,8.32,22700.0,2,0,5.32,177.49
1019,2022-11-01,4.0,8.0,10.47,107000.0,2,0,2.47,30.88
574,2022-11-01,9.0,5.0,15.03,6712.5,8,0,10.03,200.54
596,2022-11-01,1.0,24.0,8.7,7000.0,1,0,15.3,63.75
T8754,2022-11-01,2.0,16.0,11.16,525.0,1,0,4.84,30.25
1348,2022-11-01,19.0,4.0,7.77,90905.67,12,0,3.77,94.13
500,2022-11-01,2.0,4.0,13.52,15000.0,1,0,9.52,237.93
558,2022-11-01,5.0,7.0,9.79,5280.0,5,0,2.79,39.85
500,2022-11-01,4.0,2.0,11.52,13375.0,4,0,9.52,475.92
T8754,2022-11-01,16.0,10.0,9.61,500.0,4,1,0.39,3.95
1342,2022-11-01,13.0,2.0,11.57,13612.86,7,0,9.57,478.61
T8756,2022-11-01,1.0,10.0,10.27,791.25,1,0,0.27,2.75
1329,2022-11-01,4.0,5.0,17.28,21612.5,4,0,12.28,245.56
1329,2022-11-01,5.0,5.0,16.56,25000.0,5,0,11.56,231.2
T281,2022-11-01,400.0,3.0,14.65,604.39,14,1,11.65,388.35
1020,2022-11-01,7.0,7.0,15.74,120530.45,3,0,8.74,124.92
1343,2022-11-01,9.0,3.0,8.04,144960.65,3,0,5.04,167.85
558,2022-11-01,7.0,6.0,9.38,5000.0,7,0,3.38,56.25
T283,2022-11-01,360.0,5.0,18.22,298.0,24,1,13.22,264.36
T8827,2022-11-01,35.0,4.0,16.75,200.0,22,1,12.75,318.85
596,2022-11-01,24.0,3.0,6.43,5871.33,6,0,3.43,114.37
574,2022-11-01,34.0,9.0,23.02,6058.38,4,0,14.02,155.75
1018,2022-11-01,1.0,2.0,10.37,120000.0,1,0,8.37,418.66
1020,2022-11-01,11.0,7.0,16.61,96720.03,7,0,9.61,137.35
1348,2022-11-01,9.0,19.0,8.44,78819.88,3,0,10.56,55.59
1017,2022-11-01,3.0,11.5,12.16,150000.0,5,0,0.66,5.76
356,2022-10-01,12.0,31.0,23.47,39575.0,12,0,7.53,24.3
220,2022-10-01,6.0,2.0,7.31,73900.0,6,0,5.31,265.56
1112,2022-10-01,112.0,32.0,22.0,10218.85,26,1,10.0,31.26
690,2022-10-01,3.0,6.0,14.44,21500.0,2,0,8.44,140.59
690,2022-10-01,20.0,3.0,14.15,16481.5,1,0,11.15,371.57
1020,2022-10-01,45.0,11.0,14.53,110000.0,22,0,3.53,32.1
2228,2022-10-01,14.0,9.0,9.19,24693.71,3,0,0.19,2.13
264,2022-10-01,122.0,1.0,9.42,22380.18,6,1,8.42,841.6
689,2022-10-01,132.0,28.0,13.98,17000.0,16,1,14.02,50.09
574,2022-10-01,69.0,34.0,17.52,6715.78,27,1,16.48,48.46
1020,2022-10-01,40.0,45.0,29.2,97187.93,12,0,15.8,35.1
2213,2022-10-01,17.0,16.0,17.58,83882.35,17,0,1.58,9.9
2536,2022-10-01,2.0,22.0,10.13,33000.0,1,0,11.87,53.94
584,2022-10-01,1.0,1.0,11.66,16000.0,1,0,10.66,1066.29
2228,2022-10-01,9.0,1.0,13.1,28133.33,9,0,12.1,1210.03
279,2022-10-01,10.0,10.0,11.31,3070.71,7,0,1.31,13.13
584,2022-10-01,21.0,1.0,20.83,20742.0,2,0,19.83,1983.39
T7131,2022-10-01,13.0,77.0,34.87,2981.67,3,0,42.13,54.71
687,2022-10-01,19.0,5.0,8.58,16125.0,4,0,3.58,71.59
220,2022-10-01,5.0,6.0,7.22,36000.0,1,0,1.22,20.26
567,2022-10-01,109.0,46.0,26.49,14982.17,46,1,19.51,42.42
T7131,2022-10-01,77.0,1.0,13.04,3100.0,15,1,12.04,1203.72
T9567,2022-10-01,9.0,2.0,10.3,500.0,7,1,8.3,415.1
358,2022-10-01,80.0,59.0,49.93,2014.37,19,1,9.07,15.37
2238,2022-10-01,1.0,2.0,10.54,2400.0,1,0,8.54,427.04
2238,2022-10-01,2.0,1.0,7.11,2500.0,1,0,6.11,610.96
2213,2022-10-01,7.0,17.0,18.66,91186.26,3,0,1.66,9.75
1005,2022-10-01,15.0,3.0,8.07,114240.72,8,0,5.07,169.08
688,2022-10-01,30.0,52.0,32.63,11500.0,1,0,19.37,37.24
2208,2022-10-01,47.0,2.0,12.2,911.11,15,1,10.2,509.93
701,2022-10-01,12.0,1.0,11.97,3951.27,12,0,10.97,1097.23
701,2022-10-01,5.0,12.0,16.61,4800.0,5,0,4.61,38.42
2209,2022-10-01,2.0,1.0,8.25,51900.0,1,0,7.25,725.15
1005,2022-10-01,51.5,15.0,15.28,63021.75,7,0,0.28,1.89
T7129,2022-10-01,8.0,32.0,22.99,2500.0,3,0,9.01,28.16
688,2022-10-01,52.0,9.0,19.2,16214.29,7,0,10.2,113.37
2205,2022-10-01,33.0,3.0,9.36,7381.82,33,0,6.36,212.1
357,2022-10-01,34.0,39.0,18.41,2183.33,26,1,20.59,52.79
2205,2022-10-01,52.0,33.0,9.19,5567.75,4,1,23.81,72.14
357,2022-10-01,11.0,34.0,26.63,2085.71,7,0,7.37,21.68
221,2022-10-01,4.0,11.0,9.64,128125.0,2,0,1.36,12.4
221,2022-10-01,11.0,2.0,9.21,160700.0,11,0,7.21,360.3
T7129,2022-10-01,32.0,5.0,11.56,2594.12,17,1,6.56,131.21
103,2022-10-01,84.0,2.0,7.34,7867.07,8,1,5.34,267.1
T9563,2022-10-01,19.0,40.0,29.27,181.0,7,1,10.73,26.81
818,2022-10-01,9.0,70.0,19.59,1025.0,5,0,50.41,72.02
638,2022-10-01,5.0,2.0,12.91,3266.67,3,0,10.91,545.36
1113,2022-10-01,35.0,36.0,26.55,13066.67,15,0,9.45,26.25
1113,2022-10-01,23.0,35.0,30.7,12451.0,6,0,4.3,12.28
638,2022-10-01,8.0,5.0,13.58,6610.0,4,0,8.58,171.55
1114,2022-10-01,16.0,37.0,27.35,8667.0,3,0,9.65,26.07
798,2022-10-01,200.0,7.0,16.3,2944.84,12,1,9.3,132.92
1114,2022-10-01,37.0,30.0,20.75,10473.33,15,0,9.25,30.83
547,2022-10-01,2.0,6.0,11.56,8500.0,2,0,5.56,92.69
547,2022-10-01,6.0,46.0,20.15,12166.67,6,0,25.85,56.21
T9563,2022-10-01,40.0,6.0,13.76,202.08,24,1,7.76,129.34
356,2022-10-01,27.0,12.0,17.52,42638.38,7,0,5.52,46.04
2535,2022-10-01,1.0,2.0,10.32,30000.0,1,0,8.32,416.24
2533,2022-10-01,9.0,42.0,29.53,12303.33,6,0,12.47,29.7
225,2022-10-01,16.0,1.0,8.76,228080.54,6,0,7.76,775.93
355,2022-10-01,13.0,2.0,13.64,16300.33,3,0,11.64,582.14
791,2022-10-01,2.0,5.0,8.97,500.0,1,0,3.97,79.49
1009,2022-10-01,2.0,2.0,7.81,174075.0,1,0,5.81,290.73
681,2022-10-01,4.0,1.0,12.07,10525.0,4,0,11.07,1107.24
791,2022-10-01,5.0,2.0,7.96,1300.0,5,0,5.96,297.96
1109,2022-10-01,80.0,10.0,13.41,6572.58,31,1,3.41,34.14
1009,2022-10-01,2.0,21.0,7.44,190000.0,1,0,13.56,64.59
681,2022-10-01,1.0,73.0,19.2,14000.0,1,0,53.8,73.7
2248,2022-10-01,3.0,5.0,9.57,2600.0,3,0,4.57,91.31
2772,2022-10-01,2.0,1.0,9.47,350.0,1,0,8.47,846.71
2533,2022-10-01,42.0,6.0,12.71,12539.13,23,0,6.71,111.87
692,2022-10-01,40.0,65.0,47.62,6630.77,13,0,17.38,26.74
111,2022-10-01,5.0,23.0,10.98,28770.0,4,0,12.02,52.24
225,2022-10-01,1.0,2.0,8.98,480000.0,1,0,6.98,349.12
308,2022-10-01,12.0,29.0,12.34,20000.0,12,0,16.66,57.46
T7133,2022-10-01,131.0,7.0,15.05,3800.0,15,1,8.05,114.97
2257,2022-10-01,3.0,9.0,8.32,2250.0,1,0,0.68,7.6
693,2022-10-01,4.0,1.0,10.84,6250.0,2,0,9.84,983.85
350,2022-10-01,7.0,2.0,8.45,3590.01,4,0,6.45,322.41
753,2022-10-01,5.0,1.0,7.66,480.0,5,0,6.66,666.32
1108,2022-10-01,5.0,28.0,19.06,8480.0,3,0,8.94,31.92
1043,2022-10-01,44.0,19.0,10.41,109247.46,9,0,8.59,45.22
1108,2022-10-01,28.0,2.0,10.71,7613.2,5,0,8.71,435.32
276,2022-10-01,1.0,15.0,14.54,17850.0,1,0,0.46,3.06
644,2022-10-01,7.0,2.0,22.64,21546.17,3,0,20.64,1031.77
583,2022-10-01,11.0,22.0,15.66,37973.75,4,0,6.34,28.82
583,2022-10-01,22.0,45.0,22.35,23384.62,13,0,22.65,50.34
276,2022-10-01,15.0,3.0,11.71,13083.33,12,0,8.71,290.47
704,2022-10-01,52.0,40.0,26.94,2193.33,3,1,13.06,32.65
2256,2022-10-01,1.0,3.0,10.05,52750.0,1,0,7.05,235.11
644,2022-10-01,2.0,2.0,13.89,23750.0,2,0,11.89,594.58
T9379,2022-10-01,47.0,9.0,13.59,1100.0,10,1,4.59,51.04
111,2022-10-01,23.0,43.0,9.42,27526.71,7,0,33.58,78.08
T7166,2022-10-01,102.0,41.0,31.85,100.0,31,1,9.15,22.31
1006,2022-10-01,11.0,31.0,13.95,95993.99,4,0,17.05,54.99
T8756,2022-10-01,6.0,1.0,10.14,750.0,1,0,9.14,914.42
1111,2022-10-01,24.0,74.0,52.73,9000.0,9,0,21.27,28.74
2239,2022-10-01,8.0,54.0,22.58,3116.67,6,0,31.42,58.18
2239,2022-10-01,12.0,8.0,15.91,3000.0,3,0,7.91,98.91
792,2022-10-01,2.0,8.0,11.24,500.0,2,0,3.24,40.47
792,2022-10-01,8.0,6.0,9.1,550.0,4,0,3.1,51.63
1006,2022-10-01,43.0,11.0,11.99,29859.4,7,0,0.99,9.03
548,2022-10-01,1.0,15.0,9.43,11000.0,1,0,5.57,37.15
794,2022-10-01,2.0,3.0,10.09,2100.0,1,0,7.09,236.24
572,2022-10-01,2.0,33.0,11.06,12500.0,1,0,21.94,66.49
574,2022-10-01,9.0,69.0,36.3,6785.83,6,0,32.7,47.4
264,2022-10-01,1.0,1.0,11.08,68600.0,1,0,10.08,1008.37
278,2022-10-01,5.0,17.0,14.79,4040.0,4,0,2.21,12.99
278,2022-10-01,17.0,71.0,25.42,3800.0,9,0,45.58,64.2
1111,2022-10-01,55.0,24.0,28.98,7733.72,9,1,4.98,20.77
64,2022-10-01,6.0,30.0,10.44,94125.0,6,0,19.56,65.21
T7161,2022-10-01,18.0,79.0,40.16,114.72,9,1,38.84,49.17
64,2022-10-01,30.0,11.0,8.86,94791.93,10,0,2.14,19.46
T7161,2022-10-01,79.0,21.0,23.42,100.0,14,1,2.42,11.52
2240,2022-10-01,63.0,44.0,21.4,2128.86,7,1,22.6,51.37
2240,2022-10-01,44.0,48.0,26.28,2735.0,20,1,21.72,45.24
292,2022-10-01,10.0,23.0,12.89,5000.0,1,0,10.11,43.96
1110,2022-10-01,58.0,20.0,22.99,5950.0,16,1,2.99,14.93
1110,2022-10-01,28.0,58.0,43.68,7757.81,8,0,14.32,24.69
T8730,2022-10-01,20.0,10.0,18.2,1290.0,10,1,8.2,81.98
692,2022-10-01,68.0,40.0,36.55,5484.4,11,1,3.45,8.61
2244,2022-10-01,4.0,1.0,12.81,1000.0,2,0,11.81,1181.11
2244,2022-10-01,1.0,47.0,11.62,1100.0,1,0,35.38,75.28
T9547,2022-10-01,94.0,34.0,34.57,213.95,43,1,0.57,1.68
2778,2022-10-01,1.0,15.0,9.29,12000.0,1,0,5.71,38.04
548,2022-10-01,18.0,1.0,11.72,7227.61,5,0,10.72,1071.61
T7124,2022-10-01,5.0,16.0,9.41,2105.0,2,0,6.59,41.2
1115,2022-10-01,111.0,5.0,19.49,10834.5,20,1,14.49,289.71
2193,2022-10-01,18.0,22.0,13.14,2520.0,5,0,8.86,40.28
216,2022-10-01,1.0,6.0,8.28,90000.0,1,0,2.28,37.95
2556,2022-10-01,29.0,10.0,8.65,3071.43,14,1,1.35,13.52
635,2022-10-01,34.0,76.0,35.75,5580.0,10,0,40.25,52.96
635,2022-10-01,3.0,34.0,18.07,12666.67,3,0,15.93,46.85
288,2022-10-01,78.0,37.0,13.8,9633.33,12,1,23.2,62.69
1124,2022-10-01,8.0,14.0,11.55,15900.0,4,0,2.45,17.48
216,2022-10-01,6.0,6.0,8.43,90066.67,6,0,2.43,40.45
879,2022-10-01,156.0,1.0,9.4,2953.45,11,1,8.4,840.04
570,2022-10-01,89.0,27.0,20.36,17530.95,60,1,6.64,24.58
1124,2022-10-01,14.0,17.0,13.35,8500.0,7,0,3.65,21.5
263,2022-10-01,3.0,4.0,9.93,52800.0,3,0,5.93,148.23
2875,2022-10-01,1.0,1.0,7.53,25000.0,1,0,6.53,652.82
2875,2022-10-01,1.0,1.0,9.35,31700.0,1,0,8.35,835.33
544,2022-10-01,47.0,2.0,11.85,15343.33,30,0,9.85,492.58
369,2022-10-01,12.0,47.0,27.55,67853.13,8,0,19.45,41.39
3050,2022-10-01,1.0,1.0,9.6,28000.0,1,0,8.6,859.92
1123,2022-10-01,41.0,12.0,10.61,6443.33,9,0,1.39,11.59
1002,2022-10-01,24.0,4.0,8.54,16421.32,6,0,4.54,113.6
1123,2022-10-01,2.0,41.0,11.24,14000.0,1,0,29.76,72.6
2160,2022-10-01,10.0,1.0,8.21,4096.0,1,0,7.21,720.52
2160,2022-10-01,1.0,4.0,14.26,6900.0,1,0,10.26,256.56
545,2022-10-01,3.0,19.0,10.63,13500.0,2,0,8.37,44.06
545,2022-10-01,19.0,1.0,8.12,14042.11,19,0,7.12,712.46
T6556,2022-10-01,2.0,12.0,16.96,1450.0,1,0,4.96,41.31
2874,2022-10-01,5.0,1.0,7.76,29500.0,3,0,6.76,675.72
1002,2022-10-01,4.0,19.0,9.75,109500.0,4,0,9.25,48.7
T6556,2022-10-01,12.0,11.0,10.75,1500.0,5,0,0.25,2.3
1023,2022-10-01,72.0,2.0,12.5,76541.82,14,0,10.5,525.22
873,2022-10-01,2.0,1.0,9.11,1424.25,1,0,8.11,811.0
1122,2022-10-01,34.0,14.0,11.09,8467.38,8,0,2.91,20.76
2161,2022-10-01,2.0,3.0,7.33,31575.0,2,0,4.33,144.3
2161,2022-10-01,3.0,3.0,7.11,32000.0,3,0,4.11,136.98
369,2022-10-01,47.0,4.0,19.74,75237.26,8,0,15.74,393.46
544,2022-10-01,4.0,47.0,23.62,16656.88,4,0,23.38,49.74
2552,2022-10-01,6.0,2.0,9.75,14400.0,6,0,7.75,387.56
702,2022-10-01,2.0,15.0,9.54,4000.0,1,0,5.46,36.4
2879,2022-10-01,154.0,15.0,32.91,49588.0,115,1,17.91,119.39
1021,2022-10-01,40.0,13.0,14.44,55076.52,6,0,1.44,11.04
2137,2022-10-01,1.0,28.0,10.68,17000.0,1,0,17.32,61.87
2137,2022-10-01,7.0,1.0,8.61,15732.14,7,0,7.61,760.77
1128,2022-10-01,22.0,56.0,14.36,24136.36,11,0,41.64,74.37
702,2022-10-01,15.0,21.0,12.58,4080.0,10,0,8.42,40.09
261,2022-10-01,32.0,35.0,21.89,19047.14,8,0,13.11,37.47
1125,2022-10-01,9.0,8.0,12.5,13767.5,2,0,4.5,56.22
374,2022-10-01,1.0,2.0,8.09,71000.0,1,0,6.09,304.4
1001,2022-10-01,6.0,16.0,8.46,76055.28,1,0,7.54,47.13
261,2022-10-01,35.0,3.0,9.85,24757.14,7,0,6.85,228.31
889,2022-10-01,70.0,35.0,40.05,500.0,1,1,5.05,14.43
1129,2022-10-01,16.0,10.0,10.54,21225.0,4,0,0.54,5.43
213,2022-10-01,1.0,2.0,8.87,402000.0,1,0,6.87,343.35
T8731,2022-10-01,20.0,1.0,9.82,1100.0,9,1,8.82,882.16
881,2022-10-01,46.0,1.0,5.49,2652.0,25,1,4.49,449.09
370,2022-10-01,160.0,23.0,30.81,97256.6,56,1,7.81,33.95
2149,2022-10-01,4.0,20.0,9.38,105000.0,4,0,10.62,53.1
1127,2022-10-01,2.0,24.0,9.13,24000.0,1,0,14.87,61.97
585,2022-10-01,77.0,26.0,13.68,28441.86,43,1,12.32,47.4
T98,2022-10-01,4.0,68.0,24.77,800.0,3,0,43.23,63.57
T8731,2022-10-01,15.0,20.0,11.03,1022.78,9,1,8.97,44.87
881,2022-10-01,2.0,46.0,7.04,2568.75,2,0,38.96,84.7
